id,codigo,nombre,bic
220,3183,CAJA-ARQUITECTOS-COOP,CASDESBB
221,3186,CAIXA-RURAL-ALBALAT,BCOEESMM186
222,3187,CAJA-RURAL-DELSUR,BCOEESMM187
223,3190,CAJA-RURAL-ALBACETE,BCOEESMM190
224,3191,CAJA-RURAL-ARAGON,BCOEESMM191
225,9000,BANCO-DE-ESPANA,ESPBESMM
226,0072,BANCO PASTOR,PSTRESMM
227,2066,CAJA CANTABRIA,CECAESMM066
228,2091,CAIXAGALICIA,CAGLESMMXXX
229,2080,ABANCA,CAGLESMMXXX
230,0030,BANCO ESPAÑOL DE CRÉDITO - BANESTO,ESPCESMMXXX
231,2101,KUTXABANK,BASKES2BXXX
232,0043,BANCO HERRERO,BSABESBBXXX
